,category,name,subs_last30d_count,views_last30d_count
128,,Crime Patrol Dehati,358331 ,98770500
129,Education,Prachin Rahasya,227243 ,75057000
130,News,The Lallantop,723903 ,119729100
131,,CON HEO DAT TV,0 ,5100600
132,News,Inside Edition,178972 ,156897900
133,,Hola Niño,570700 ,115963200
134,Music,ShawnMendesVEVO,-40267 ,121353900
135,Music,Coldplay,208800 ,134634000
136,Comedy,Jkk Entertainment,437455 ,129549300
137,Music,Ariana Grande`,2037103 ,0
138,,حِرف إبداعية في 5 دقائق,633804 ,142404600
139,People,BuzzFeedVideo,142965 ,133137300
140,Entertainment,Surya Citra Televisi (SCTV),270332 ,109892570
141,Music,JustinBieberVEVO,-95340 ,120581400
142,Entertainment,RedeTV,182045 ,129256800
143,Games,Jelly,362202 ,132790500
144,Travel,Wheel & Dice,93764 ,60194704
145,,Primitive Technology KH,451274 ,116214000
146,Entertainment,HAR PAL GEO,311683 ,-139704140
147,Howto,ToysPlay,190033 ,110311500
148,Games,Lachlan,481944 ,131617200
149,Music,TikTok,1939 ,80514300
150,News,AMARIN TVHD,180210 ,149584200
151,Entertainment,Bizim Hikaye,191401 ,135232800
152,Entertainment,Susi kids TV,154629 ,103678800
153,Shows,Sony PAL,241234 ,113865900
154,Entertainment,Haryanvi Maina,243637 ,134565000
155,Entertainment,StarPlus,401945 ,122042100
156,Games,DanTDM,162638 ,174923700
157,Games,VanossGaming,115918 ,124654800
158,Film,Totoykids,305329 ,129101100
159,Music,CNCOVEVO,-25704 ,137180700
160,Music,Bruno Mars,224718 ,122994000
161,,IDEAS EN 5 MINUTOS,706138 ,114510000
162,Music,capoVEVO,1568 ,98360100
163,Games,Поззи,224477 ,115688700
164,Entertainment,The Late Late Show with James Corden,487112 ,125028000
165,Education,infobells,290661 ,93501000
166,Music,CalvinHarrisVEVO,-30242 ,126096000
167,Music,RomeoSantosVEVO,-17948 ,120642000
168,Games,VEGETTA777,370323 ,114379800
169,Film,Peppa Pig - Official Channel,290550 ,142816200
170,Entertainment,DIEN QUAN Comedy / Hài,251559 ,118411500
171,,Janta Films Pvt.Ltd.,101544 ,83811300
172,Music,HD Songs Bollywood,152658 ,65266200
173,Film,Riki MUSIC,497456 ,114679500
174,Entertainment,Reliance Entertainment,240830 ,65131800
175,Film,Jingle Toons,357985 ,114477600
176,Music,HalseyVEVO,-15420 ,41270400
177,Music,TaylorSwiftVEVO,-89956 ,117790200
178,,Alex 366,156498 ,68801700
179,Entertainment,Caso Cerrado,233481 ,132072300
180,Music,Meek Mill,173548 ,90184800
181,Entertainment,Zee Tamil,194737 ,111542400
182,,ABCkidTV Misa,467109 ,107191500
183,Sports,Toy For Kids [토이포키즈],513975 ,137132100
184,Music,KatyPerryVEVO,-73856 ,113909700
185,Entertainment,MrSuicideSheep,221973 ,115148400
186,Entertainment,Guava Juice,328760 ,118819200
187,Film,Official Pink Panther,290359  ,110187900
188,Music,DEL Records,164194 ,114834600
189,Music,avex,62653 ,110841300
190,Music,TheWeekndVEVO,-32572 ,108934200
191,Music,Sonotek Haryanvi,254709 ,123483300
192,,Gjigandet e Vegjel,384949 ,91386600
193,Entertainment,Zee Marathi,182308 ,120346500
194,Games,Vanimy,1277 ,-6875220
195,Entertainment,Познаватель,275472 ,107105100
196,,Ninja Kidz TV,302115 ,103465200
197,News,Thairath,223230 ,106364100
198,Entertainment,Gato Galactico,485720 ,108489900
199,Entertainment,Love Warning !,82532 ,-52024633
200,Comedy,Luisito Comunica,853324 ,103796100
201,,Çukur,141778 ,123291000
202,Education,Tareasplus,-139 ,51153600
203,Music,Chris Rinaldi,-2122 ,50871300
204,Entertainment,KOCOWA TV,177250 ,101148600
205,Games,jacksepticeye,235009 ,126749400
206,Sports,NFL,172229 ,106431900
207,,Kiddiestv Hindi,246031 ,100186500
208,,FlareTV,416809 ,81931800
209,People,Kids Learning Songs,0 ,94165200
210,Entertainment,ToyTocToc,431604 ,131503500
211,Games,BCC Trolling,312155 ,107660700
212,People,Colgate - Brasil,17365 ,47374200
213,Howto,5-Minute Crafts KIDS,738175 ,108955200
214,Music,EHPMusicChannel,70117 ,102012300
215,People,HIMAWARIちゃんねる,92829 ,97682100
216,Education,Dave and Ava - Nursery Rhymes and Baby Songs,196402 ,103458900
217,,Pac Pac TV,330033 , 94519200
218,Entertainment,MBC مصر,116841 ,88647600
219,Comedy,The Tonight Show Starring Jimmy Fallon,274509 ,149004600
220,Music,Wesley Safadão,192552 ,104020800
221,Music,Linkin Park,172128 ,103095900
222,Entertainment,Brancoala,146180 ,107627400
223,Music,MalumaVEVO,-50101 ,108392700
224,Entertainment,Happy Babies,60164 ,52730700
225,Entertainment,James Charles,1213585 ,89082000
226,Film,Masha e o Urso,364136 ,101487900
227,Entertainment,MEGA Oficial,186667 ,98637600
228,,БЕРИ И ДЕЛАЙ,471971 ,76738800
229,Comedy,DANIEL EL TRAVIESO VIDEOS,328442 ,90361200
230,Entertainment,And TV,163331 ,99391800
231,Comedy,ولاية بطيخ | Melon City Show,323356 ,91085400
232,People,Shoof Drama | شوف دراما,212425 ,101241900
233,Education,Rainbow Kids,0 ,66579600
234,Music,Charlie Puth,225395 ,93432600
235,Entertainment,Me contro Te,63875 ,80856600
236,Music,Michael Bublé,86119 ,80186400
237,Music,toyorbabytv,183614 ,91832400
238,,Kudo Toys,0 ,62933100
239,Music,RCM Music Bhojpuri,244961 ,-18518493
240,Comedy,Lele Pons,444627 ,114119100
241,Entertainment,RTVE,122815 ,49964100
242,Music,Chetak,237493 ,99227100
243,,Total ReFresh,10192 ,44541000
244,Music,Anne-Marie,419423 ,111516600
245,,Aqui Bebês Cantam,245455 ,59591956
246,Comedy,Darwin,63389 ,47612700
247,People,Daniel Boy,246291 ,98320800
248,Music,Wiz Khalifa,236499 ,93390900
249,,Nick Jr. Россия,142676 ,84037800
250,Film,Zig & Sharko,167866 ,74898000
251,Entertainment,Hành Tinh Đồ Chơi - Toy Planet,277320 ,100979100
252,,Teddy ToysReview,0 ,69937800
253,Education,Zic Zic,252581 ,77610300
254,Entertainment,DisneyChannelLA,178946 ,96990000
255,People,Colgate - Mexico,7964 ,72506400
256,Entertainment,Viki Show,242827 ,92227800
257,Film,prenses elif,64490 ,0
258,Music,BeyoncéVEVO,-28459 ,92176200
259,Animals,Maymo,269441 ,84477000
260,,Dessin Animé pour Enfants,311333 ,94197600
261,Entertainment,Sony AATH,182955 ,90421500
262,Music,Cordil Games,-119 ,74730
263,Entertainment,Pop Diaries,123972 , 55489200
264,Music,Zee Music Classic,214519 ,90162600
265,Music,MK MUSIC,218424 ,93842400
266,,BabyBus - Canciones Infantiles & Cuentos,297536 ,69557700
267,Music,Alka Music,-6547 ,-539823000
268,,IMR Bhojpuriya,212873 ,57073800
269,Film,DreamWorksTV,54691 ,86444700
270,,Zadruga Official,26546 ,107128500
271,Entertainment,RSVP Movies,119585 ,52509900
272,Tech,Google India,130648 ,116423700
273,Comedy,DSS Production,139097 ,54712500
274,Entertainment,Red Chillies Entertainment,290460 ,84402300
275,Entertainment,Gamza Selih,0 ,43922100
276,Entertainment,YimYam TV,137212 ,78240900
277,Music,Warner Music Italy,85440 ,89173200
278,,SVM SCHOOL,578611 ,165400864
279,Howto,Трум Трум,222988 ,90056100
280,Education,Christmas Songs and Carols - Love to Sing,144467 ,63936300
281,People,hollywoodclips22,103408 ,117496800
282,Music,ThaliaVEVO,-4085 ,90452700
283,Music,MBCkpop,155885 ,82138200
284,Entertainment,ViralVideo Italia,9145 ,-18696000
285,Entertainment,HUM TV,192473 ,94427400
286,,ETV Dhee,191433 ,88980000
287,Entertainment,Oyuncu Yusuf,321937 ,82336500
288,People,Horlicks India,86158 ,59578500
289,People,SlenderMan™,173001 ,96032100
290,Music,Dua Lipa,269298 ,90830100
291,Music,Chill Nation,326829 ,93498000
292,Music,AviciiOfficialVEVO,-28729 ,82100700
293,Games,Fernanfloo,404923 ,0
294,Games,Julia MineGirl,131017 ,87550800
295,Music,Jass Records,282252 ,82179900
296,Entertainment,AmiG Show,97461 ,57246300
297,Film,Turma da Mônica,178485 ,84834000
298,Music,Mor Music,160689 ,85662600
299,Entertainment,Dr. Phil,150668 ,113932800
300,Games,Muselk,99264 ,76278600
301,Entertainment,Fisher-Price® Latino,34742 ,69649500
302,Music,Luan Santana,230977 ,88652100
303,,Peppa Pig En Español Capitulos Completos,249444 ,83309400
304,Music,Pina Records,125355 ,88439700
305,Entertainment,Zee Kannada,160699 ,80309700
306,Film,Joy_Boy Theories,5406 ,1884270
307,Education,베이비버스 -인기 동요・동화,107385 ,80646000
308,,الحب لا يفهم الكلام,122541 ,80274600
309,,Lisa Luke Nursery Rhymes,249979 ,57814200
310,Autos,Dekja,192486 ,85226700
311,People,AmusementForce,181242 ,79158000
312,,Venus Bhojpuri,298806 ,86300700
313,,عائلة رياض,82716 ,78363600
314,Music,BEC-TERO MUSIC,89951 ,80620200
315,Travel,The Shiny Peanut,405006 ,71910000
316,Games,AzzyLand,288582 ,98181600
317,Music,GRM Daily,75688 ,85116600
318,Nonprofit,TEDx Talks,545591 ,81469500
319,Entertainment,Brianna's Secret Club TH,209029 ,76833300
320,,Animal Family,342623 ,107449500
321,Entertainment,Good Mythical Morning,159660 ,86802600
322,Entertainment,Super Polina Play,346338 ,93666300
323,Music,Thuy Nga,94429 ,79704600
324,Music,Desi Music Factory,386212 ,63075300
325,People,Troom Troom Es,357387 ,78962400
326,,PlayToys,470254 ,95585729
327,,Bi Bi TV,0 ,52861800
328,,ZEE5,195026 ,79308300
329,Music,Anitta,257339 ,97352100
330,Howto,Crafty Panda,437733 ,77190300
331,Entertainment,RCM Bhojpuri Hit,257359 ,90223800
332,Entertainment,Caracol Televisión,155391 ,76857600
333,,5 MINUTI CREATIVI,397559 ,68672400
334,Comedy,SQUEEZIE,174282 ,87865800
335,Entertainment,ArkivaShqip,37601 ,74841300
336,Comedy,Mr Bean,342917 ,77043300
337,Entertainment,Baby Show TV,327484 ,70955700
338,Music,Nirahua Music World,159279 ,77764800
